Date,Centre_Name,Commodity_Name,Price
16-01-09,RAIPUR,Rice,NA
16-01-09,AHMEDABAD,Rice,NA
16-01-09,BHOPAL,Rice,NA
16-01-09,MUMBAI,Rice,NA
16-01-09,JAIPUR,Rice,1500
16-01-09,PATNA,Rice,NA
16-01-09,RANCHI,Rice,NA
16-01-09,BHUBANESHWAR,Rice,1450
16-01-09,KOLKATA,Rice,NA
16-01-09,GUWAHATI,Rice,NA
16-01-09,SHILLONG,Rice,NA
16-01-09,AIZWAL,Rice,NA
16-01-09,KOHIMA,Rice,NA
16-01-09,AGARTALA,Rice,NA
16-01-09,BENGALURU,Rice,NA
16-01-09,T.PURAM,Rice,NA
16-01-09,CHENNAI,Rice,NA
16-01-09,HYDERABAD,Rice,NA
19-01-09,CHANDIGARH,Rice,NA
19-01-09,DELHI,Rice,1700
19-01-09,SHIMLA,Rice,NA
19-01-09,SRINAGAR,Rice,NA
19-01-09,JAMMU,Rice,NA
19-01-09,AMRITSAR,Rice,NA
19-01-09,LUDHIANA,Rice,NA
19-01-09,LUCKNOW,Rice,NA
19-01-09,DEHRADUN,Rice,NA
19-01-09,RAIPUR,Rice,NA
19-01-09,AHMEDABAD,Rice,NA
19-01-09,BHOPAL,Rice,NA
19-01-09,MUMBAI,Rice,NA
19-01-09,JAIPUR,Rice,1500
19-01-09,PATNA,Rice,NA
19-01-09,RANCHI,Rice,NA
19-01-09,BHUBANESHWAR,Rice,1450
19-01-09,KOLKATA,Rice,NA
19-01-09,GUWAHATI,Rice,NA
19-01-09,SHILLONG,Rice,NA
19-01-09,AIZWAL,Rice,NA
19-01-09,KOHIMA,Rice,NA
19-01-09,AGARTALA,Rice,NA
19-01-09,BENGALURU,Rice,1600
19-01-09,T.PURAM,Rice,NA
19-01-09,CHENNAI,Rice,1650
19-01-09,HYDERABAD,Rice,NA
20-01-09,CHANDIGARH,Rice,NA
20-01-09,DELHI,Rice,1700
20-01-09,SHIMLA,Rice,NA
20-01-09,SRINAGAR,Rice,NA
20-01-09,JAMMU,Rice,NA
20-01-09,AMRITSAR,Rice,NA
20-01-09,LUDHIANA,Rice,NA
20-01-09,LUCKNOW,Rice,NA
20-01-09,DEHRADUN,Rice,NA
20-01-09,RAIPUR,Rice,NA
20-01-09,AHMEDABAD,Rice,NA
20-01-09,BHOPAL,Rice,NA
20-01-09,MUMBAI,Rice,NA
20-01-09,JAIPUR,Rice,NA
20-01-09,PATNA,Rice,NA
20-01-09,RANCHI,Rice,NA
20-01-09,BHUBANESHWAR,Rice,1450
20-01-09,KOLKATA,Rice,NA
20-01-09,GUWAHATI,Rice,NA
20-01-09,SHILLONG,Rice,NA
20-01-09,AIZWAL,Rice,NA
20-01-09,KOHIMA,Rice,NA
20-01-09,AGARTALA,Rice,NA
20-01-09,BENGALURU,Rice,NA
20-01-09,T.PURAM,Rice,NA
20-01-09,CHENNAI,Rice,1650
20-01-09,HYDERABAD,Rice,NA
21-01-09,CHANDIGARH,Rice,NA
21-01-09,DELHI,Rice,1700
21-01-09,SHIMLA,Rice,NA
21-01-09,SRINAGAR,Rice,NA
21-01-09,JAMMU,Rice,NA
21-01-09,AMRITSAR,Rice,NA
21-01-09,LUDHIANA,Rice,NA
21-01-09,LUCKNOW,Rice,NA
21-01-09,DEHRADUN,Rice,NA
21-01-09,RAIPUR,Rice,NA
21-01-09,AHMEDABAD,Rice,NA
21-01-09,BHOPAL,Rice,NA
21-01-09,MUMBAI,Rice,NA
21-01-09,JAIPUR,Rice,1500
21-01-09,PATNA,Rice,NA
21-01-09,RANCHI,Rice,NA
21-01-09,BHUBANESHWAR,Rice,1450
21-01-09,KOLKATA,Rice,NA
21-01-09,GUWAHATI,Rice,NA
21-01-09,SHILLONG,Rice,NA
21-01-09,AIZWAL,Rice,NA
21-01-09,KOHIMA,Rice,NA
21-01-09,AGARTALA,Rice,NA
21-01-09,BENGALURU,Rice,1600
21-01-09,T.PURAM,Rice,NA
21-01-09,CHENNAI,Rice,NA
21-01-09,HYDERABAD,Rice,NA
22-01-09,CHANDIGARH,Rice,NA
22-01-09,DELHI,Rice,1700
22-01-09,SHIMLA,Rice,NA
22-01-09,SRINAGAR,Rice,NA
22-01-09,JAMMU,Rice,NA
22-01-09,AMRITSAR,Rice,1400
22-01-09,LUDHIANA,Rice,1400
22-01-09,LUCKNOW,Rice,NA
22-01-09,DEHRADUN,Rice,NA
22-01-09,RAIPUR,Rice,NA
22-01-09,AHMEDABAD,Rice,NA
22-01-09,BHOPAL,Rice,NA
22-01-09,MUMBAI,Rice,NA
22-01-09,JAIPUR,Rice,1500
22-01-09,PATNA,Rice,NA
22-01-09,RANCHI,Rice,NA
22-01-09,BHUBANESHWAR,Rice,1450
22-01-09,KOLKATA,Rice,NA
22-01-09,GUWAHATI,Rice,NA
22-01-09,SHILLONG,Rice,NA
22-01-09,AIZWAL,Rice,NA
22-01-09,KOHIMA,Rice,NA
22-01-09,AGARTALA,Rice,NA
22-01-09,BENGALURU,Rice,1600
22-01-09,T.PURAM,Rice,NA
22-01-09,CHENNAI,Rice,1650
22-01-09,HYDERABAD,Rice,NA
23-01-09,CHANDIGARH,Rice,NA
23-01-09,DELHI,Rice,1675
23-01-09,SHIMLA,Rice,NA
23-01-09,SRINAGAR,Rice,NA
23-01-09,JAMMU,Rice,NA
23-01-09,AMRITSAR,Rice,1400
23-01-09,LUDHIANA,Rice,1400
23-01-09,LUCKNOW,Rice,NA
23-01-09,DEHRADUN,Rice,NA
23-01-09,RAIPUR,Rice,NA
23-01-09,AHMEDABAD,Rice,NA
23-01-09,BHOPAL,Rice,NA
23-01-09,MUMBAI,Rice,NA
23-01-09,JAIPUR,Rice,NA
23-01-09,PATNA,Rice,NA
23-01-09,RANCHI,Rice,NA
23-01-09,BHUBANESHWAR,Rice,NA
23-01-09,KOLKATA,Rice,NA
23-01-09,GUWAHATI,Rice,NA
23-01-09,SHILLONG,Rice,NA
23-01-09,AIZWAL,Rice,NA
23-01-09,KOHIMA,Rice,NA
23-01-09,AGARTALA,Rice,NA
23-01-09,BENGALURU,Rice,NA
23-01-09,T.PURAM,Rice,NA
23-01-09,CHENNAI,Rice,1650
23-01-09,HYDERABAD,Rice,NA
27-01-09,CHANDIGARH,Rice,NA
27-01-09,DELHI,Rice,1650
27-01-09,SHIMLA,Rice,NA
27-01-09,SRINAGAR,Rice,NA
27-01-09,JAMMU,Rice,NA
27-01-09,AMRITSAR,Rice,1400
27-01-09,LUDHIANA,Rice,1400
27-01-09,LUCKNOW,Rice,NA
27-01-09,DEHRADUN,Rice,NA
27-01-09,RAIPUR,Rice,NA
27-01-09,AHMEDABAD,Rice,NA
27-01-09,BHOPAL,Rice,NA
27-01-09,MUMBAI,Rice,NA
27-01-09,JAIPUR,Rice,NA
27-01-09,PATNA,Rice,NA
27-01-09,RANCHI,Rice,NA
27-01-09,BHUBANESHWAR,Rice,1450
27-01-09,KOLKATA,Rice,NA
27-01-09,GUWAHATI,Rice,NA
27-01-09,SHILLONG,Rice,NA
27-01-09,AIZWAL,Rice,NA
27-01-09,KOHIMA,Rice,NA
27-01-09,AGARTALA,Rice,NA
27-01-09,BENGALURU,Rice,1600
27-01-09,T.PURAM,Rice,NA
27-01-09,CHENNAI,Rice,NA
27-01-09,HYDERABAD,Rice,NA
28-01-09,CHANDIGARH,Rice,NA
28-01-09,DELHI,Rice,1675
28-01-09,SHIMLA,Rice,NA
28-01-09,SRINAGAR,Rice,NA
28-01-09,JAMMU,Rice,NA
28-01-09,AMRITSAR,Rice,1400
28-01-09,LUDHIANA,Rice,1400
28-01-09,LUCKNOW,Rice,NA
28-01-09,DEHRADUN,Rice,NA
28-01-09,RAIPUR,Rice,NA
28-01-09,AHMEDABAD,Rice,NA
28-01-09,BHOPAL,Rice,1700
28-01-09,MUMBAI,Rice,NA
28-01-09,JAIPUR,Rice,1500
28-01-09,PATNA,Rice,NA
28-01-09,RANCHI,Rice,NA
28-01-09,BHUBANESHWAR,Rice,1450
28-01-09,KOLKATA,Rice,NA
28-01-09,GUWAHATI,Rice,NA
28-01-09,SHILLONG,Rice,NA
28-01-09,AIZWAL,Rice,NA
28-01-09,KOHIMA,Rice,NA
28-01-09,AGARTALA,Rice,NA
28-01-09,BENGALURU,Rice,1600
28-01-09,T.PURAM,Rice,NA
28-01-09,CHENNAI,Rice,NA
28-01-09,HYDERABAD,Rice,NA
29-01-09,CHANDIGARH,Rice,NA
29-01-09,DELHI,Rice,1675
29-01-09,SHIMLA,Rice,NA
29-01-09,SRINAGAR,Rice,NA
29-01-09,JAMMU,Rice,NA
29-01-09,AMRITSAR,Rice,1400
29-01-09,LUDHIANA,Rice,1400
29-01-09,LUCKNOW,Rice,NA
29-01-09,DEHRADUN,Rice,NA
29-01-09,RAIPUR,Rice,NA
29-01-09,AHMEDABAD,Rice,NA
29-01-09,BHOPAL,Rice,NA
29-01-09,MUMBAI,Rice,NA
29-01-09,JAIPUR,Rice,NA
29-01-09,PATNA,Rice,NA
29-01-09,RANCHI,Rice,NA
29-01-09,BHUBANESHWAR,Rice,NA
29-01-09,KOLKATA,Rice,NA
29-01-09,GUWAHATI,Rice,NA
29-01-09,SHILLONG,Rice,NA
29-01-09,AIZWAL,Rice,NA
29-01-09,KOHIMA,Rice,NA
29-01-09,AGARTALA,Rice,NA
29-01-09,BENGALURU,Rice,1600
29-01-09,T.PURAM,Rice,NA
29-01-09,CHENNAI,Rice,1650
29-01-09,HYDERABAD,Rice,NA
30-01-09,CHANDIGARH,Rice,NA
30-01-09,DELHI,Rice,1675
30-01-09,SHIMLA,Rice,NA
30-01-09,SRINAGAR,Rice,NA
30-01-09,JAMMU,Rice,NA
30-01-09,AMRITSAR,Rice,NA
30-01-09,LUDHIANA,Rice,NA
30-01-09,LUCKNOW,Rice,NA
30-01-09,DEHRADUN,Rice,NA
30-01-09,RAIPUR,Rice,NA
30-01-09,AHMEDABAD,Rice,NA
30-01-09,BHOPAL,Rice,1700
30-01-09,MUMBAI,Rice,NA
30-01-09,JAIPUR,Rice,NA
30-01-09,PATNA,Rice,NA
30-01-09,RANCHI,Rice,NA
30-01-09,BHUBANESHWAR,Rice,NA
30-01-09,KOLKATA,Rice,NA
30-01-09,GUWAHATI,Rice,NA
30-01-09,SHILLONG,Rice,NA
30-01-09,AIZWAL,Rice,NA
30-01-09,KOHIMA,Rice,NA
30-01-09,AGARTALA,Rice,NA
30-01-09,BENGALURU,Rice,1600
30-01-09,T.PURAM,Rice,NA
30-01-09,CHENNAI,Rice,NA
30-01-09,HYDERABAD,Rice,NA
02-02-09,CHANDIGARH,Rice,NA
02-02-09,DELHI,Rice,1650
02-02-09,SHIMLA,Rice,NA
02-02-09,SRINAGAR,Rice,NA
02-02-09,JAMMU,Rice,NA
02-02-09,AMRITSAR,Rice,1400
02-02-09,LUDHIANA,Rice,1400
02-02-09,LUCKNOW,Rice,1475
02-02-09,DEHRADUN,Rice,NA
02-02-09,RAIPUR,Rice,NA
02-02-09,AHMEDABAD,Rice,NA
02-02-09,BHOPAL,Rice,1700
02-02-09,MUMBAI,Rice,NA
02-02-09,JAIPUR,Rice,1500
02-02-09,PATNA,Rice,NA
02-02-09,RANCHI,Rice,NA
02-02-09,BHUBANESHWAR,Rice,1450
02-02-09,KOLKATA,Rice,NA
02-02-09,GUWAHATI,Rice,NA
02-02-09,SHILLONG,Rice,NA
02-02-09,AIZWAL,Rice,NA
02-02-09,KOHIMA,Rice,NA
02-02-09,AGARTALA,Rice,NA
02-02-09,BENGALURU,Rice,1600
